\U00020,SPACE
\U00021,EXCLAMATION MARK
\U00022,QUOTATION MARK
\U00023,NUMBER SIGN
\U00024,DOLLAR SIGN
\U00025,PERCENT SIGN
\U00026,AMPERSAND
\U00027,APOSTROPHE
\U00028,LEFT PARENTHESIS
\U00029,RIGHT PARENTHESIS
\U0002A,ASTERISK
\U0002B,PLUS SIGN
\U0002C,COMMA
\U0002D,HYPHEN-MINUS
\U0002E,FULL STOP
\U0002F,SOLIDUS
\U00030,DIGIT ZERO
\U00031,DIGIT ONE
\U00032,DIGIT TWO
\U00033,DIGIT THREE
\U00034,DIGIT FOUR
\U00035,DIGIT FIVE
\U00036,DIGIT SIX
\U00037,DIGIT SEVEN
\U00038,DIGIT EIGHT
\U00039,DIGIT NINE
\U0003A,COLON
\U0003B,SEMICOLON
\U0003C,LESS-THAN SIGN
\U0003D,EQUALS SIGN
\U0003E,GREATER-THAN SIGN
\U0003F,QUESTION MARK
\U00040,COMMERCIAL AT
\U00041,LATIN CAPITAL LETTER A
\U00042,LATIN CAPITAL LETTER B
\U00043,LATIN CAPITAL LETTER C
\U00044,LATIN CAPITAL LETTER D
\U00045,LATIN CAPITAL LETTER E
\U00046,LATIN CAPITAL LETTER F
\U00047,LATIN CAPITAL LETTER G
\U00048,LATIN CAPITAL LETTER H
\U00049,LATIN CAPITAL LETTER I
\U0004A,LATIN CAPITAL LETTER J
\U0004B,LATIN CAPITAL LETTER K
\U0004C,LATIN CAPITAL LETTER L
\U0004D,LATIN CAPITAL LETTER M
\U0004E,LATIN CAPITAL LETTER N
\U0004F,LATIN CAPITAL LETTER O
\U00050,LATIN CAPITAL LETTER P
\U00051,LATIN CAPITAL LETTER Q
\U00052,LATIN CAPITAL LETTER R
\U00053,LATIN CAPITAL LETTER S
\U00054,LATIN CAPITAL LETTER T
\U00055,LATIN CAPITAL LETTER U
\U00056,LATIN CAPITAL LETTER V
\U00057,LATIN CAPITAL LETTER W
\U00058,LATIN CAPITAL LETTER X
\U00059,LATIN CAPITAL LETTER Y
\U0005A,LATIN CAPITAL LETTER Z
\U0005B,LEFT SQUARE BRACKET
\U0005C,REVERSE SOLIDUS
\U0005D,RIGHT SQUARE BRACKET
\U0005E,CIRCUMFLEX ACCENT
\U0005F,LOW LINE
\U00060,GRAVE ACCENT
\U00061,LATIN SMALL LETTER A
\U00062,LATIN SMALL LETTER B
\U00063,LATIN SMALL LETTER C
\U00064,LATIN SMALL LETTER D
\U00065,LATIN SMALL LETTER E
\U00066,LATIN SMALL LETTER F
\U00067,LATIN SMALL LETTER G
\U00068,LATIN SMALL LETTER H
\U00069,LATIN SMALL LETTER I
\U0006A,LATIN SMALL LETTER J
\U0006B,LATIN SMALL LETTER K
\U0006C,LATIN SMALL LETTER L
\U0006D,LATIN SMALL LETTER M
\U0006E,LATIN SMALL LETTER N
\U0006F,LATIN SMALL LETTER O
\U00070,LATIN SMALL LETTER P
\U00071,LATIN SMALL LETTER Q
\U00072,LATIN SMALL LETTER R
\U00073,LATIN SMALL LETTER S
\U00074,LATIN SMALL LETTER T
\U00075,LATIN SMALL LETTER U
\U00076,LATIN SMALL LETTER V
\U00077,LATIN SMALL LETTER W
\U00078,LATIN SMALL LETTER X
\U00079,LATIN SMALL LETTER Y
